Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales Price,Quantity,Discount,Profit,Order_id_year,Order_Date_year,Days_to_ship,Customer Name Masked,Original Price,Total Sales,Total Profit,Discount Price,Total Discount,Shipping Urgency,Days Since Last Order,Customer Total Sales,Customer Total Quantity,Customer Total Discount
2230,CA-2014-128055,2014-03-31,2014-04-05,Standard Class,AA-10315,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10004390,Office Supplies,Binders,GBC DocuBind 200 Manual Binding Machine,673.568,2,0.2,252.588,2014,2014,5,A****A****,841.9599999999999,1347.136,505.176,168.392,336.784,Standard,,16073.344000000001,30,3681.906
2231,CA-2014-128055,2014-03-31,2014-04-05,Standard Class,AA-10315,Consumer,United States,San Francisco,California,94122,West,OFF-AP-10002765,Office Supplies,Appliances,Fellowes Advanced Computer Series Surge Protectors,52.98,2,0.0,14.8344,2014,2014,5,A****A****,52.98,105.96,29.6688,0.0,0.0,Standard,0.0,16073.344000000001,30,3681.906
7469,CA-2014-138100,2014-09-15,2014-09-20,Standard Class,AA-10315,Consumer,United States,New York City,New York,10011,East,OFF-PA-10000349,Office Supplies,Paper,Easy-staple paper,14.94,3,0.0,7.0218,2014,2014,5,A****A****,14.94,44.82,21.0654,0.0,0.0,Standard,168.0,16073.344000000001,30,3681.906
7470,CA-2014-138100,2014-09-15,2014-09-20,Standard Class,AA-10315,Consumer,United States,New York City,New York,10011,East,FUR-FU-10002456,Furniture,Furnishings,"Master Caster Door Stop, Large Neon Orange",14.56,2,0.0,6.2608,2014,2014,5,A****A****,14.56,29.12,12.5216,0.0,0.0,Standard,0.0,16073.344000000001,30,3681.906
1300,CA-2015-121391,2015-04-10,2015-07-10,First Class,AA-10315,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",26.96,2,0.0,7.0096,2015,2015,91,A****A****,26.96,53.92,14.0192,0.0,0.0,Standard,207.0,16073.344000000001,30,3681.906
5200,CA-2016-103982,2016-03-03,2016-08-03,Standard Class,AA-10315,Consumer,United States,Round Rock,Texas,78664,Central,OFF-FA-10001332,Office Supplies,Fasteners,"Acco Banker's Clasps, 5 3/4""-Long",2.304,1,0.2,0.7776,2016,2016,153,A****A****,2.8799999999999994,2.304,0.7776,0.576,0.576,Standard,0.0,16073.344000000001,30,3681.906
5201,CA-2016-103982,2016-03-03,2016-08-03,Standard Class,AA-10315,Consumer,United States,Round Rock,Texas,78664,Central,TEC-PH-10000895,Technology,Phones,Polycom VVX 310 VoIP phone,431.976,3,0.2,32.3982,2016,2016,153,A****A****,539.9699999999999,1295.9279999999999,97.19460000000001,107.99399999999999,323.98199999999997,Standard,0.0,16073.344000000001,30,3681.906
5202,CA-2016-103982,2016-03-03,2016-08-03,Standard Class,AA-10315,Consumer,United States,Round Rock,Texas,78664,Central,TEC-AC-10002857,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",41.72,7,0.2,5.7365,2016,2016,153,A****A****,52.15,292.03999999999996,40.1555,10.43,73.00999999999999,Standard,0.0,16073.344000000001,30,3681.906
1160,CA-2017-147039,2017-06-29,2017-04-07,Standard Class,AA-10315,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-AP-10000576,Office Supplies,Appliances,"Belkin 325VA UPS Surge Protector, 6'",362.94,3,0.0,90.735,2017,2017,-83,A****A****,362.94,1088.82,272.205,0.0,0.0,,483.0,16073.344000000001,30,3681.906
1161,CA-2017-147039,2017-06-29,2017-04-07,Standard Class,AA-10315,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,11.54,2,0.0,5.77,2017,2017,-83,A****A****,11.54,23.08,11.54,0.0,0.0,,0.0,16073.344000000001,30,3681.906
